"time","kokonaiskulutus","pientuotanto","tehoreservi","tuulivoima","vesivoima","ydinvoima","yhteistuotanto_kaukolämpö","yhteistuotanto_teollisuus","vienti","kokonaistuotanto"
"2019-11-26 22:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-11-26 23:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-11-27",9121.7,77.5,0.1,327.49,818.76,2798.2,1587.5,1229.2,NA,NA
"2019-11-27 01:00:00",9189.6,77.5,0.1,341,848.55,2797.4,1593.2,1243.8,NA,NA
"2019-11-27 02:00:00",9327.2,77.5,0.1,332.49,865.12,2798.6,1587.1,1247.6,NA,NA
"2019-11-27 03:00:00",9746.1,77.5,0.1,332,1029.6,2795.7,1789.3,1250.6,NA,NA
"2019-11-27 04:00:00",10757,79.5,0.1,300,1718,2795.3,2000.8,1239,NA,NA
"2019-11-27 05:00:00",11006,79.5,0.1,277,2034.4,2795.7,2147.1,1274.3,NA,NA
"2019-11-27 06:00:00",11294,81.5,0.1,264.51,2284.6,2797.4,2238.8,1351.8,NA,NA
"2019-11-27 07:00:00",11164,82.2,0.1,266,2246.3,2796.7,2260,1330,NA,NA
"2019-11-27 08:00:00",11164,82.2,0.1,276.99,1940.9,2796.4,2225.4,1316.7,NA,NA
"2019-11-27 09:00:00",11056,82.5,0.1,274.48,1677.7,2794.4,2228.4,1334.9,NA,NA
"2019-11-27 10:00:00",11144,84.4,0.1,272.01,1708.7,2795.2,2239.7,1353.4,NA,NA
"2019-11-27 11:00:00",10929,84.5,0.1,283,1831.5,2794.8,2208.2,1332.9,NA,NA
"2019-11-27 12:00:00",11050,86.8,0.1,303,2178.3,2793.9,2282.9,1387.3,NA,NA
"2019-11-27 13:00:00",11174,89.3,0.1,330,2218.3,2795.6,2317.8,1445.8,NA,NA
"2019-11-27 14:00:00",11337,91.5,0.1,367.98,2212,2797,2303.1,1468.4,NA,NA
"2019-11-27 15:00:00",11366,93.6,0.1,410.49,2213.8,2792.8,2304.1,1468.8,NA,NA
"2019-11-27 16:00:00",11327,95.5,0.1,470.01,2107.9,2794.4,2234.5,1446.8,NA,NA
"2019-11-27 17:00:00",11325,95.5,0.1,585.97,1988.7,2792.9,2141.8,1443.4,NA,NA
"2019-11-27 18:00:00",10928,93.4,0.1,684,1576.4,2794.5,1992.6,1429.5,NA,NA
"2019-11-27 19:00:00",10408,93.4,0.1,749.54,1256,2791.1,1843.3,1394.3,NA,NA
"2019-11-27 20:00:00",10506,90.454,0.1,732.01,1209.6,2793.7,1771.6,1315,NA,NA
"2019-11-27 21:00:00",10098,89.5,0.1,772.98,1100.4,2794.5,1698.5,1330.5,NA,NA
"2019-11-27 22:00:00",9771.4,89.5,0.1,763.49,935.87,2794.5,1633.4,1312.5,NA,NA
"2019-11-27 23:00:00",9568.7,87.4,0.1,791.9,1008,2794.3,1531.6,1302.8,NA,NA
"2019-11-28",9334.9,87.4,0.1,795.98,1007.8,2794.4,1507.1,1291.5,NA,NA
"2019-11-28 01:00:00",9301.6,87.4,0.1,781,950.03,2795,1507.1,1296.5,NA,NA
"2019-11-28 02:00:00",9352.4,85.1,0.1,749.01,962.4,2795.6,1486.8,1322.1,NA,NA
"2019-11-28 03:00:00",9727.6,85.1,0.1,740.02,1072.8,2795.3,1562.1,1301.5,NA,NA
"2019-11-28 04:00:00",10627,83.2,0.1,808.5,1627.6,2796.9,1826.7,1271.3,NA,NA
"2019-11-28 05:00:00",10802,80.9,0.1,760.98,2027.5,2794.6,1946.2,1288.1,NA,NA
"2019-11-28 06:00:00",11222,78.2,0.1,746.91,2126.2,2795,1961.2,1497.3,NA,NA
"2019-11-28 07:00:00",10812,77.5,0.1,771,2057,2793.7,1983.2,1366.5,NA,NA
"2019-11-28 08:00:00",10830,76.5,0.1,743.99,1712.5,2794.1,1883.1,1345,NA,NA
"2019-11-28 09:00:00",10785,76.5,0.1,721.45,1504.2,2797.1,1841.9,1287.7,NA,NA
"2019-11-28 10:00:00",10820,76.5,0.1,662.47,1408.5,2794.1,1792.1,1330.5,NA,NA
"2019-11-28 11:00:00",10742,76.5,0.1,651.49,1691.5,2796.7,1907.2,1266.2,NA,NA
"2019-11-28 12:00:00",10860,76.5,0.1,666.99,2030.1,2796.8,1991.4,1288.6,NA,NA
"2019-11-28 13:00:00",11218,76.4,0.1,702.49,2077.9,2794.8,2020.2,1411,NA,NA
"2019-11-28 14:00:00",11192,94.5,0.1,700,2214.3,2797.8,2045.9,1436.4,NA,NA
"2019-11-28 15:00:00",11082,107.8,0.1,742.43,2190,2793.6,2064.1,1369.3,NA,NA
"2019-11-28 16:00:00",10979,106.5,0.1,724.5,2108.2,2793.1,2006.3,1396.1,NA,NA
"2019-11-28 17:00:00",10995,136.5,0.1,675.02,1931.6,2794.4,1969.2,1333.4,NA,NA
"2019-11-28 18:00:00",10685,145.4,0.1,604,1674.2,2795,1781.1,1295.7,NA,NA
"2019-11-28 19:00:00",10055,141.5,0.1,540.02,1432.4,2796.8,1628.3,1286.6,NA,NA
"2019-11-28 20:00:00",10296,99.5,0.1,476.02,1281.8,2796.5,1581.7,1268.9,NA,NA
"2019-11-28 21:00:00",9781,73.511,0.1,465.49,1061.1,2794,1498.9,1264.1,NA,NA
"2019-11-28 22:00:00",9396.6,73.5,0.1,434.02,865.31,2793.3,1359.1,1275.5,NA,NA
"2019-11-28 23:00:00",9241,73.5,0.1,420.53,737.55,2793.4,1331.6,1282.5,NA,NA
"2019-11-29",9026.2,73.5,0.1,458.01,731.28,2794,1322.6,1261.1,NA,NA
"2019-11-29 01:00:00",9011.9,73.5,0.1,505.98,681.5,2793.6,1323.8,1286.8,NA,NA
"2019-11-29 02:00:00",9146.1,73.5,0.1,503.99,765.15,2793.7,1333.1,1271,NA,NA
"2019-11-29 03:00:00",9578.8,73.5,0.1,524.02,989.43,2793.4,1347.3,1333.2,NA,NA
"2019-11-29 04:00:00",10403,73.5,0.1,559.5,1474.4,2793.9,1557.2,1326.5,NA,NA
"2019-11-29 05:00:00",10800,75.5,0.1,546,1990.9,2795.1,1712.4,1299.1,NA,NA
