"time","kokonaistuotanto","kokonaiskulutus"
"2019-11-26 22:00:00",NA,NA
"2019-11-26 23:00:00",NA,NA
"2019-11-27",6840,9121.7
"2019-11-27 01:00:00",6902.1,9189.6
"2019-11-27 02:00:00",6910.6,9327.2
"2019-11-27 03:00:00",7275.2,9746.1
"2019-11-27 04:00:00",8130.6,10757
"2019-11-27 05:00:00",8609.4,11006
"2019-11-27 06:00:00",9019,11294
"2019-11-27 07:00:00",8980.8,11164
"2019-11-27 08:00:00",8641.5,11164
"2019-11-27 09:00:00",8394.8,11056
"2019-11-27 10:00:00",8456.3,11144
"2019-11-27 11:00:00",8537.4,10929
"2019-11-27 12:00:00",9036.6,11050
"2019-11-27 13:00:00",9199,11174
"2019-11-27 14:00:00",9239.4,11337
"2019-11-27 15:00:00",9284.3,11366
"2019-11-27 16:00:00",9150.5,11327
"2019-11-27 17:00:00",9049.4,11325
"2019-11-27 18:00:00",8569.7,10928
"2019-11-27 19:00:00",8127.7,10408
"2019-11-27 20:00:00",7914.2,10506
"2019-11-27 21:00:00",7787.1,10098
"2019-11-27 22:00:00",7531,9771.4
"2019-11-27 23:00:00",7513.3,9568.7
"2019-11-28",7485.3,9334.9
"2019-11-28 01:00:00",7417,9301.6
"2019-11-28 02:00:00",7399.5,9352.4
"2019-11-28 03:00:00",7554.2,9727.6
"2019-11-28 04:00:00",8414.6,10627
"2019-11-28 05:00:00",8899.2,10802
"2019-11-28 06:00:00",9202.7,11222
"2019-11-28 07:00:00",9049.8,10812
"2019-11-28 08:00:00",8559.1,10830
"2019-11-28 09:00:00",8235.1,10785
"2019-11-28 10:00:00",8069.6,10820
"2019-11-28 11:00:00",8392,10742
"2019-11-28 12:00:00",8853.1,10860
"2019-11-28 13:00:00",9086.1,11218
"2019-11-28 14:00:00",9291.2,11192
"2019-11-28 15:00:00",9266.3,11082
"2019-11-28 16:00:00",9132.6,10979
"2019-11-28 17:00:00",8840.8,10995
"2019-11-28 18:00:00",8291.6,10685
"2019-11-28 19:00:00",7829.1,10055
"2019-11-28 20:00:00",7502.3,10296
"2019-11-28 21:00:00",7155.8,9781
"2019-11-28 22:00:00",6800.8,9396.6
"2019-11-28 23:00:00",6641,9241
"2019-11-29",6639.4,9026.2
"2019-11-29 01:00:00",6662.6,9011.9
"2019-11-29 02:00:00",6742.5,9146.1
"2019-11-29 03:00:00",7061.6,9578.8
"2019-11-29 04:00:00",7784.2,10403
"2019-11-29 05:00:00",8421.1,10800
"2019-11-29 06:00:00",8622.7,11145
"2019-11-29 07:00:00",8399,10979
"2019-11-29 08:00:00",7931.1,10935
"2019-11-29 09:00:00",7668.9,11069
"2019-11-29 10:00:00",7682.2,11060
"2019-11-29 11:00:00",8047.8,10883
"2019-11-29 12:00:00",8618.7,11091
"2019-11-29 13:00:00",8950.3,11289
"2019-11-29 14:00:00",8994.8,11327
"2019-11-29 15:00:00",8929.3,11241
"2019-11-29 16:00:00",8789.6,11319
"2019-11-29 17:00:00",8566.1,11248
"2019-11-29 18:00:00",8284.4,10936
"2019-11-29 19:00:00",8213,10598
"2019-11-29 20:00:00",8076.9,10780
"2019-11-29 21:00:00",8084.3,10403
"2019-11-29 22:00:00",7840.3,9839.1
"2019-11-29 23:00:00",8131.6,9678.3
"2019-11-30",8177.3,9534.9
"2019-11-30 01:00:00",8198.9,9436.9
"2019-11-30 02:00:00",8172.7,9464.6
"2019-11-30 03:00:00",8296.4,9565.6
"2019-11-30 04:00:00",8304.2,9906
"2019-11-30 05:00:00",8345.5,10076
"2019-11-30 06:00:00",8526.4,10359
"2019-11-30 07:00:00",8897.4,10367
"2019-11-30 08:00:00",8968.4,10497
"2019-11-30 09:00:00",8870.2,10500
"2019-11-30 10:00:00",8729.6,10491
"2019-11-30 11:00:00",8674.9,10444
"2019-11-30 12:00:00",8606.1,10484
"2019-11-30 13:00:00",8558.6,10878
"2019-11-30 14:00:00",8794.6,11192
"2019-11-30 15:00:00",9100.6,11375
"2019-11-30 16:00:00",9200.4,11391
"2019-11-30 17:00:00",9083.7,11328
"2019-11-30 18:00:00",9011,10911
"2019-11-30 19:00:00",8894,10419
"2019-11-30 20:00:00",8809.2,10789
"2019-11-30 21:00:00",8876.1,10460
"2019-11-30 22:00:00",8691.8,9984.3
