age_group,sukupuoli,n,n_total,osuus
15-19,miehet,3216,5972,53.851306095110516
15-19,naiset,2756,5972,46.148693904889484
20-24,miehet,1558,4825,32.29015544041451
20-24,naiset,3267,4825,67.70984455958549
25-54,miehet,10692,30253,35.341949558721446
25-54,naiset,19561,30253,64.65805044127855
55-64,miehet,1306,4277,30.535422024783728
55-64,naiset,2971,4277,69.46457797521627
65-74,miehet,779,2492,31.26003210272873
65-74,naiset,1713,2492,68.73996789727127
alle 15,miehet,6638,13016,50.998770743700064
alle 15,naiset,6378,13016,49.001229256299936
yli 74,miehet,186,784,23.72448979591837
yli 74,naiset,598,784,76.27551020408163
