aika,age_group,sukupuoli,n,n_total,osuus
2022-03-01,15-19,miehet,137,2388,5.7370184254606365
2022-03-01,15-19,naiset,180,2388,7.537688442211055
2022-03-01,20-24,miehet,25,2388,1.0469011725293134
2022-03-01,20-24,naiset,139,2388,5.8207705192629815
2022-03-01,25-54,miehet,219,2388,9.170854271356783
2022-03-01,25-54,naiset,657,2388,27.51256281407035
2022-03-01,55-64,miehet,32,2388,1.340033500837521
2022-03-01,55-64,naiset,121,2388,5.067001675041876
2022-03-01,alle 15,miehet,391,2388,16.373534338358457
2022-03-01,alle 15,naiset,383,2388,16.038525963149077
2022-03-01,yli 64,miehet,24,2388,1.0050251256281406
2022-03-01,yli 64,naiset,80,2388,3.350083752093802
2022-04-01,15-19,miehet,614,10946,5.609355015530788
2022-04-01,15-19,naiset,736,10946,6.723917412753518
2022-04-01,20-24,miehet,148,10946,1.3520920884341312
2022-04-01,20-24,naiset,582,10946,5.317010780193678
2022-04-01,25-54,miehet,905,10946,8.267860405627626
2022-04-01,25-54,naiset,3147,10946,28.750228393933856
2022-04-01,55-64,miehet,185,10946,1.690115110542664
2022-04-01,55-64,naiset,519,10946,4.741458066873744
2022-04-01,alle 15,miehet,1804,10946,16.480906267129544
2022-04-01,alle 15,naiset,1745,10946,15.94189658322675
2022-04-01,yli 64,miehet,146,10946,1.3338205737255617
2022-04-01,yli 64,naiset,415,10946,3.7913393020281383
2022-05-01,15-19,miehet,346,7026,4.924565898092799
2022-05-01,15-19,naiset,410,7026,5.8354682607458015
2022-05-01,20-24,miehet,157,7026,2.234557358383148
2022-05-01,20-24,naiset,373,7026,5.308852832337034
2022-05-01,25-54,miehet,875,7026,12.453743239396527
2022-05-01,25-54,naiset,2025,7026,28.821520068317678
2022-05-01,55-64,miehet,126,7026,1.7933390264730997
2022-05-01,55-64,naiset,351,7026,4.995730145175064
2022-05-01,alle 15,miehet,1002,7026,14.26131511528608
2022-05-01,alle 15,naiset,1005,7026,14.30401366353544
2022-05-01,yli 64,miehet,100,7026,1.4232849416453175
2022-05-01,yli 64,naiset,256,7026,3.6436094506120127
2022-06-01,15-19,miehet,255,5205,4.899135446685879
2022-06-01,15-19,naiset,289,5205,5.552353506243996
2022-06-01,20-24,miehet,133,5205,2.5552353506243994
2022-06-01,20-24,naiset,331,5205,6.359269932756964
2022-06-01,25-54,miehet,728,5205,13.98655139289145
2022-06-01,25-54,naiset,1825,5205,35.06243996157541
2022-06-01,55-64,miehet,95,5205,1.8251681075888568
2022-06-01,55-64,naiset,234,5205,4.495677233429395
2022-06-01,alle 15,miehet,571,5205,10.970220941402498
2022-06-01,alle 15,naiset,529,5205,10.163304514889528
2022-06-01,yli 64,miehet,70,5205,1.344860710854947
2022-06-01,yli 64,naiset,145,5205,2.785782901056676
2022-07-01,15-19,miehet,174,4696,3.705281090289608
2022-07-01,15-19,naiset,292,4696,6.218057921635435
2022-07-01,20-24,miehet,156,4696,3.321976149914821
2022-07-01,20-24,naiset,409,4696,8.70954003407155
2022-07-01,25-54,miehet,697,4696,14.842419080068142
2022-07-01,25-54,naiset,1882,4696,40.076660988074956
2022-07-01,55-64,miehet,88,4696,1.8739352640545146
2022-07-01,55-64,naiset,201,4696,4.280238500851788
2022-07-01,alle 15,miehet,323,4696,6.878194207836456
2022-07-01,alle 15,naiset,323,4696,6.878194207836456
2022-07-01,yli 64,miehet,51,4696,1.08603066439523
2022-07-01,yli 64,naiset,100,4696,2.1294718909710393
2022-08-01,15-19,miehet,167,3361,4.9687592978280275
2022-08-01,15-19,naiset,180,3361,5.355548943766736
2022-08-01,20-24,miehet,167,3361,4.9687592978280275
2022-08-01,20-24,naiset,196,3361,5.831597738768224
2022-08-01,25-54,miehet,771,3361,22.939601309134186
2022-08-01,25-54,naiset,869,3361,25.855400178518302
2022-08-01,55-64,miehet,78,3361,2.3207378756322523
2022-08-01,55-64,naiset,128,3361,3.8083903600119013
2022-08-01,alle 15,miehet,333,3361,9.907765545968463
2022-08-01,alle 15,naiset,334,3361,9.937518595656055
2022-08-01,yli 64,miehet,41,3361,1.219875037191312
2022-08-01,yli 64,naiset,97,3361,2.886045819696519
2022-09-01,15-19,miehet,107,2622,4.080854309687262
2022-09-01,15-19,naiset,110,2622,4.195270785659801
2022-09-01,20-24,miehet,115,2622,4.385964912280701
2022-09-01,20-24,naiset,143,2622,5.453852021357742
2022-09-01,25-54,miehet,669,2622,25.514874141876433
2022-09-01,25-54,naiset,622,2622,23.72234935163997
2022-09-01,55-64,miehet,75,2622,2.8604118993135015
2022-09-01,55-64,naiset,118,2622,4.500381388253242
2022-09-01,alle 15,miehet,270,2622,10.297482837528605
2022-09-01,alle 15,naiset,274,2622,10.450038138825324
2022-09-01,yli 64,miehet,41,2622,1.5636918382913807
2022-09-01,yli 64,naiset,78,2622,2.9748283752860414
2022-10-01,15-19,miehet,111,2591,4.28406020841374
2022-10-01,15-19,naiset,109,2591,4.206869934388267
2022-10-01,20-24,miehet,105,2591,4.052489386337321
2022-10-01,20-24,naiset,110,2591,4.245465071401004
2022-10-01,25-54,miehet,578,2591,22.307989193361635
2022-10-01,25-54,naiset,636,2591,24.54650714010035
2022-10-01,55-64,miehet,73,2591,2.8174450019297566
2022-10-01,55-64,naiset,123,2591,4.747201852566577
2022-10-01,alle 15,miehet,311,2591,12.00308761096102
2022-10-01,alle 15,naiset,300,2591,11.57854110382092
2022-10-01,yli 64,miehet,36,2591,1.3894249324585102
2022-10-01,yli 64,naiset,99,2591,3.8209185642609027
2022-11-01,15-19,miehet,80,1957,4.087889626980071
2022-11-01,15-19,naiset,103,1957,5.263157894736842
2022-11-01,20-24,miehet,55,1957,2.810424118548799
2022-11-01,20-24,naiset,82,1957,4.190086867654573
2022-11-01,25-54,miehet,411,1957,21.001532958610117
2022-11-01,25-54,naiset,504,1957,25.753704649974452
2022-11-01,55-64,miehet,52,1957,2.6571282575370465
2022-11-01,55-64,naiset,102,1957,5.212059274399591
2022-11-01,alle 15,miehet,227,1957,11.599386816555953
2022-11-01,alle 15,naiset,207,1957,10.577414409810935
2022-11-01,yli 64,miehet,37,1957,1.890648952478283
2022-11-01,yli 64,naiset,97,1957,4.9565661727133365
2022-12-01,15-19,miehet,91,1845,4.932249322493225
2022-12-01,15-19,naiset,72,1845,3.902439024390244
2022-12-01,20-24,miehet,66,1845,3.577235772357724
2022-12-01,20-24,naiset,76,1845,4.119241192411924
2022-12-01,25-54,miehet,365,1845,19.78319783197832
2022-12-01,25-54,naiset,459,1845,24.878048780487806
2022-12-01,55-64,miehet,44,1845,2.3848238482384825
2022-12-01,55-64,naiset,98,1845,5.311653116531166
2022-12-01,alle 15,miehet,228,1845,12.357723577235772
2022-12-01,alle 15,naiset,222,1845,12.032520325203253
2022-12-01,yli 64,miehet,30,1845,1.6260162601626018
2022-12-01,yli 64,naiset,94,1845,5.094850948509485
2023-01-01,15-19,miehet,73,1596,4.5739348370927315
2023-01-01,15-19,naiset,87,1596,5.451127819548872
2023-01-01,20-24,miehet,47,1596,2.944862155388471
2023-01-01,20-24,naiset,83,1596,5.200501253132832
2023-01-01,25-54,miehet,312,1596,19.548872180451127
2023-01-01,25-54,naiset,397,1596,24.87468671679198
2023-01-01,55-64,miehet,52,1596,3.258145363408521
2023-01-01,55-64,naiset,86,1596,5.3884711779448615
2023-01-01,alle 15,miehet,169,1596,10.588972431077694
2023-01-01,alle 15,naiset,195,1596,12.218045112781954
2023-01-01,yli 64,miehet,31,1596,1.9423558897243107
2023-01-01,yli 64,naiset,64,1596,4.010025062656641
2023-02-01,15-19,miehet,93,1877,4.954714970697922
2023-02-01,15-19,naiset,81,1877,4.315396909962707
2023-02-01,20-24,miehet,58,1877,3.090037293553543
2023-02-01,20-24,naiset,85,1877,4.528502930207779
2023-02-01,25-54,miehet,391,1877,20.831113478955782
2023-02-01,25-54,naiset,465,1877,24.77357485348961
2023-02-01,55-64,miehet,45,1877,2.397442727757059
2023-02-01,55-64,naiset,81,1877,4.315396909962707
2023-02-01,alle 15,miehet,211,1877,11.241342567927544
2023-02-01,alle 15,naiset,251,1877,13.372402770378264
2023-02-01,yli 64,miehet,35,1877,1.8646776771443794
2023-02-01,yli 64,naiset,81,1877,4.315396909962707
2023-03-01,15-19,miehet,105,1939,5.415162454873646
2023-03-01,15-19,naiset,80,1939,4.125838060856111
2023-03-01,20-24,miehet,73,1939,3.7648272305312016
2023-03-01,20-24,naiset,82,1939,4.228984012377515
2023-03-01,25-54,miehet,451,1939,23.259412068076326
2023-03-01,25-54,naiset,448,1939,23.104693140794225
2023-03-01,55-64,miehet,46,1939,2.372356884992264
2023-03-01,55-64,naiset,88,1939,4.5384218669417224
2023-03-01,alle 15,miehet,234,1939,12.068076328004127
2023-03-01,alle 15,naiset,214,1939,11.036616812790099
2023-03-01,yli 64,miehet,32,1939,1.6503352243424447
2023-03-01,yli 64,naiset,86,1939,4.43527591542032
2023-04-01,15-19,miehet,54,1014,5.325443786982249
2023-04-01,15-19,naiset,45,1014,4.437869822485207
2023-04-01,20-24,miehet,29,1014,2.8599605522682445
2023-04-01,20-24,naiset,49,1014,4.832347140039447
2023-04-01,25-54,miehet,261,1014,25.7396449704142
2023-04-01,25-54,naiset,267,1014,26.331360946745562
2023-04-01,55-64,miehet,28,1014,2.7613412228796843
2023-04-01,55-64,naiset,42,1014,4.142011834319527
2023-04-01,alle 15,miehet,93,1014,9.171597633136095
2023-04-01,alle 15,naiset,102,1014,10.059171597633137
2023-04-01,yli 64,miehet,12,1014,1.183431952662722
2023-04-01,yli 64,naiset,32,1014,3.155818540433925
2023-05-01,15-19,miehet,76,1411,5.386250885896527
2023-05-01,15-19,naiset,45,1411,3.1892274982282065
2023-05-01,20-24,miehet,40,1411,2.8348688873139616
2023-05-01,20-24,naiset,56,1411,3.968816442239546
2023-05-01,25-54,miehet,357,1411,25.301204819277107
2023-05-01,25-54,naiset,380,1411,26.93125442948264
2023-05-01,55-64,miehet,41,1411,2.9057406094968106
2023-05-01,55-64,naiset,79,1411,5.598866052445074
2023-05-01,alle 15,miehet,153,1411,10.843373493975903
2023-05-01,alle 15,naiset,112,1411,7.937632884479092
2023-05-01,yli 64,miehet,23,1411,1.630049610205528
2023-05-01,yli 64,naiset,49,1411,3.472714386959603
2023-06-01,15-19,miehet,97,2239,4.332291201429209
2023-06-01,15-19,naiset,102,2239,4.555605180884323
2023-06-01,20-24,miehet,35,2239,1.563197856185797
2023-06-01,20-24,naiset,154,2239,6.878070567217508
2023-06-01,25-54,miehet,336,2239,15.006699419383654
2023-06-01,25-54,naiset,1034,2239,46.18133095131755
2023-06-01,55-64,miehet,43,2239,1.9205002233139794
2023-06-01,55-64,naiset,94,2239,4.198302813756142
2023-06-01,alle 15,miehet,138,2239,6.163465832961143
2023-06-01,alle 15,naiset,124,2239,5.538186690486825
2023-06-01,yli 64,miehet,24,2239,1.0719071013845467
2023-06-01,yli 64,naiset,58,2239,2.590442161679321
2023-07-01,15-19,miehet,138,2770,4.981949458483754
