aika,sukupuoli,age_group,n,n_total
2022-03-01,miehet,25-54,13,25
2022-04-01,miehet,25-54,54,149
2022-04-01,naiset,20-24,21,149
2022-04-01,naiset,25-54,55,149
2022-05-01,miehet,15-19,22,976
2022-05-01,miehet,20-24,34,976
2022-05-01,miehet,25-54,247,976
2022-05-01,naiset,15-19,44,976
2022-05-01,naiset,20-24,112,976
2022-05-01,naiset,25-54,487,976
2022-05-01,naiset,55-64,24,976
2022-06-01,miehet,15-19,98,2506
2022-06-01,miehet,20-24,86,2506
2022-06-01,miehet,25-54,622,2506
2022-06-01,miehet,55-64,34,2506
2022-06-01,naiset,15-19,115,2506
2022-06-01,naiset,20-24,240,2506
2022-06-01,naiset,25-54,1239,2506
2022-06-01,naiset,55-64,72,2506
2022-07-01,miehet,15-19,213,4644
2022-07-01,miehet,20-24,161,4644
2022-07-01,miehet,25-54,1000,4644
2022-07-01,miehet,55-64,62,4644
2022-07-01,naiset,15-19,272,4644
2022-07-01,naiset,20-24,424,4644
2022-07-01,naiset,25-54,2374,4644
2022-07-01,naiset,55-64,138,4644
2022-08-01,miehet,15-19,301,6410
2022-08-01,miehet,20-24,200,6410
2022-08-01,miehet,25-54,1325,6410
2022-08-01,miehet,55-64,92,6410
2022-08-01,naiset,15-19,375,6410
2022-08-01,naiset,20-24,586,6410
2022-08-01,naiset,25-54,3327,6410
2022-08-01,naiset,55-64,204,6410
2022-09-01,miehet,15-19,209,5464
2022-09-01,miehet,20-24,230,5464
2022-09-01,miehet,25-54,1602,5464
2022-09-01,miehet,55-64,100,5464
2022-09-01,naiset,15-19,211,5464
2022-09-01,naiset,20-24,430,5464
2022-09-01,naiset,25-54,2524,5464
2022-09-01,naiset,55-64,158,5464
2022-10-01,miehet,15-19,182,5432
2022-10-01,miehet,20-24,239,5432
2022-10-01,miehet,25-54,1812,5432
2022-10-01,miehet,55-64,97,5432
2022-10-01,naiset,15-19,136,5432
2022-10-01,naiset,20-24,396,5432
2022-10-01,naiset,25-54,2418,5432
2022-10-01,naiset,55-64,152,5432
2022-11-01,miehet,15-19,188,5429
2022-11-01,miehet,20-24,259,5429
2022-11-01,miehet,25-54,1969,5429
2022-11-01,miehet,55-64,98,5429
2022-11-01,naiset,15-19,116,5429
2022-11-01,naiset,20-24,368,5429
2022-11-01,naiset,25-54,2289,5429
2022-11-01,naiset,55-64,142,5429
2022-12-01,miehet,15-19,187,5684
2022-12-01,miehet,20-24,268,5684
2022-12-01,miehet,25-54,2107,5684
2022-12-01,miehet,55-64,101,5684
2022-12-01,naiset,15-19,113,5684
2022-12-01,naiset,20-24,371,5684
2022-12-01,naiset,25-54,2387,5684
2022-12-01,naiset,55-64,150,5684
2023-01-01,miehet,15-19,150,5300
2023-01-01,miehet,20-24,251,5300
2023-01-01,miehet,25-54,1977,5300
2023-01-01,miehet,55-64,95,5300
2023-01-01,naiset,15-19,119,5300
2023-01-01,naiset,20-24,347,5300
2023-01-01,naiset,25-54,2222,5300
2023-01-01,naiset,55-64,139,5300
2023-02-01,miehet,15-19,136,5465
2023-02-01,miehet,20-24,264,5465
2023-02-01,miehet,25-54,2054,5465
2023-02-01,miehet,55-64,102,5465
2023-02-01,naiset,15-19,118,5465
2023-02-01,naiset,20-24,352,5465
2023-02-01,naiset,25-54,2302,5465
2023-02-01,naiset,55-64,137,5465
2023-03-01,miehet,15-19,152,5761
2023-03-01,miehet,20-24,264,5761
2023-03-01,miehet,25-54,2144,5761
2023-03-01,miehet,55-64,112,5761
2023-03-01,naiset,15-19,130,5761
2023-03-01,naiset,20-24,371,5761
2023-03-01,naiset,25-54,2448,5761
2023-03-01,naiset,55-64,140,5761
2023-04-01,miehet,15-19,166,6080
2023-04-01,miehet,20-24,267,6080
2023-04-01,miehet,25-54,2288,6080
2023-04-01,miehet,55-64,110,6080
2023-04-01,naiset,15-19,138,6080
2023-04-01,naiset,20-24,376,6080
2023-04-01,naiset,25-54,2576,6080
2023-04-01,naiset,55-64,159,6080
2023-05-01,miehet,15-19,220,6755
2023-05-01,miehet,20-24,293,6755
2023-05-01,miehet,25-54,2562,6755
2023-05-01,miehet,55-64,123,6755
2023-05-01,naiset,15-19,145,6755
2023-05-01,naiset,20-24,419,6755
2023-05-01,naiset,25-54,2806,6755
2023-05-01,naiset,55-64,187,6755
2023-06-01,miehet,15-19,347,8054
2023-06-01,miehet,20-24,338,8054
2023-06-01,miehet,25-54,2998,8054
2023-06-01,miehet,55-64,142,8054
2023-06-01,naiset,15-19,243,8054
2023-06-01,naiset,20-24,494,8054
2023-06-01,naiset,25-54,3279,8054
2023-06-01,naiset,55-64,213,8054
2023-07-01,miehet,15-19,499,10156
2023-07-01,miehet,20-24,373,10156
2023-07-01,miehet,25-54,3259,10156
2023-07-01,miehet,55-64,166,10156
2023-07-01,naiset,15-19,388,10156
2023-07-01,naiset,20-24,668,10156
2023-07-01,naiset,25-54,4514,10156
2023-07-01,naiset,55-64,289,10156
2023-08-01,miehet,15-19,536,11041
2023-08-01,miehet,20-24,366,11041
2023-08-01,miehet,25-54,3328,11041
2023-08-01,miehet,55-64,172,11041
2023-08-01,naiset,15-19,443,11041
2023-08-01,naiset,20-24,742,11041
2023-08-01,naiset,25-54,5108,11041
2023-08-01,naiset,55-64,346,11041
2023-09-01,miehet,15-19,351,8983
2023-09-01,miehet,20-24,367,8983
2023-09-01,miehet,25-54,3385,8983
2023-09-01,miehet,55-64,174,8983
2023-09-01,naiset,15-19,225,8983
2023-09-01,naiset,20-24,528,8983
2023-09-01,naiset,25-54,3698,8983
2023-09-01,naiset,55-64,255,8983
