aika,sukupuoli,age_group,n,n_total
2022-05-01,miehet,25-54,13,22
2022-06-01,miehet,25-54,16,31
2022-06-01,naiset,25-54,10,31
2022-07-01,miehet,25-54,23,42
2022-07-01,naiset,25-54,11,42
2022-08-01,miehet,25-54,28,51
2022-08-01,naiset,25-54,15,51
2022-09-01,miehet,25-54,30,65
2022-09-01,naiset,25-54,22,65
2022-10-01,miehet,25-54,39,78
2022-10-01,naiset,25-54,25,78
2022-11-01,miehet,25-54,50,103
2022-11-01,naiset,25-54,34,103
2022-12-01,miehet,25-54,59,126
2022-12-01,naiset,25-54,45,126
2023-01-01,miehet,25-54,72,166
2023-01-01,naiset,20-24,10,166
2023-01-01,naiset,25-54,62,166
2023-02-01,miehet,25-54,97,230
2023-02-01,naiset,20-24,10,230
2023-02-01,naiset,25-54,96,230
2023-03-01,miehet,15-19,16,705
2023-03-01,miehet,20-24,15,705
2023-03-01,miehet,25-54,190,705
2023-03-01,miehet,55-64,14,705
2023-03-01,naiset,15-19,20,705
2023-03-01,naiset,20-24,47,705
2023-03-01,naiset,25-54,385,705
2023-03-01,naiset,55-64,18,705
2023-04-01,miehet,15-19,28,1140
2023-04-01,miehet,20-24,26,1140
2023-04-01,miehet,25-54,307,1140
2023-04-01,miehet,55-64,12,1140
2023-04-01,naiset,15-19,32,1140
2023-04-01,naiset,20-24,74,1140
2023-04-01,naiset,25-54,629,1140
2023-04-01,naiset,55-64,32,1140
2023-05-01,miehet,15-19,57,1593
2023-05-01,miehet,20-24,36,1593
2023-05-01,miehet,25-54,447,1593
2023-05-01,miehet,55-64,15,1593
2023-05-01,naiset,15-19,31,1593
2023-05-01,naiset,20-24,110,1593
2023-05-01,naiset,25-54,847,1593
2023-05-01,naiset,55-64,50,1593
2023-06-01,miehet,15-19,104,2161
2023-06-01,miehet,20-24,54,2161
2023-06-01,miehet,25-54,614,2161
2023-06-01,miehet,55-64,24,2161
2023-06-01,naiset,15-19,71,2161
2023-06-01,naiset,20-24,147,2161
