tilasto_time,sukupuoli,age_group,n,n_total
2022-03-01,miehet,25–54,13,25
2022-04-01,miehet,25–54,54,149
2022-04-01,naiset,20–24,17,149
2022-04-01,naiset,25–54,55,149
2022-05-01,miehet,15–19,27,975
2022-05-01,miehet,20–24,29,975
2022-05-01,miehet,25–54,246,975
2022-05-01,naiset,15–19,63,975
2022-05-01,naiset,20–24,93,975
2022-05-01,naiset,25–54,487,975
2022-05-01,naiset,55–64,24,975
2022-06-01,miehet,15–19,117,2504
2022-06-01,miehet,20–24,67,2504
2022-06-01,miehet,25–54,620,2504
2022-06-01,miehet,55–64,34,2504
2022-06-01,naiset,15–19,159,2504
2022-06-01,naiset,20–24,196,2504
2022-06-01,naiset,25–54,1239,2504
2022-06-01,naiset,55–64,72,2504
2022-07-01,miehet,15–19,244,4641
2022-07-01,miehet,20–24,130,4641
2022-07-01,miehet,25–54,998,4641
2022-07-01,miehet,55–64,62,4641
2022-07-01,naiset,15–19,344,4641
2022-07-01,naiset,20–24,351,4641
2022-07-01,naiset,25–54,2375,4641
2022-07-01,naiset,55–64,137,4641
2022-08-01,miehet,15–19,337,6404
2022-08-01,miehet,20–24,164,6404
2022-08-01,miehet,25–54,1320,6404
2022-08-01,miehet,55–64,92,6404
2022-08-01,naiset,15–19,494,6404
2022-08-01,naiset,20–24,467,6404
2022-08-01,naiset,25–54,3326,6404
2022-08-01,naiset,55–64,204,6404
2022-09-01,miehet,15–19,253,5458
2022-09-01,miehet,20–24,186,5458
2022-09-01,miehet,25–54,1599,5458
2022-09-01,miehet,55–64,100,5458
2022-09-01,naiset,15–19,289,5458
2022-09-01,naiset,20–24,352,5458
2022-09-01,naiset,25–54,2522,5458
2022-09-01,naiset,55–64,157,5458
2022-10-01,miehet,15–19,223,5425
2022-10-01,miehet,20–24,198,5425
2022-10-01,miehet,25–54,1806,5425
2022-10-01,miehet,55–64,97,5425
2022-10-01,naiset,15–19,196,5425
2022-10-01,naiset,20–24,336,5425
2022-10-01,naiset,25–54,2417,5425
2022-10-01,naiset,55–64,152,5425
2022-11-01,miehet,15–19,234,5418
2022-11-01,miehet,20–24,213,5418
2022-11-01,miehet,25–54,1961,5418
2022-11-01,miehet,55–64,98,5418
2022-11-01,naiset,15–19,176,5418
2022-11-01,naiset,20–24,308,5418
2022-11-01,naiset,25–54,2287,5418
2022-11-01,naiset,55–64,141,5418
2022-12-01,miehet,15–19,230,5675
2022-12-01,miehet,20–24,225,5675
2022-12-01,miehet,25–54,2100,5675
2022-12-01,miehet,55–64,101,5675
2022-12-01,naiset,15–19,168,5675
2022-12-01,naiset,20–24,316,5675
2022-12-01,naiset,25–54,2385,5675
2022-12-01,naiset,55–64,150,5675
2023-01-01,miehet,15–19,197,5284
2023-01-01,miehet,20–24,204,5284
2023-01-01,miehet,25–54,1966,5284
2023-01-01,miehet,55–64,95,5284
2023-01-01,naiset,15–19,166,5284
2023-01-01,naiset,20–24,300,5284
2023-01-01,naiset,25–54,2217,5284
2023-01-01,naiset,55–64,139,5284
2023-02-01,miehet,15–19,186,5453
2023-02-01,miehet,20–24,215,5453
2023-02-01,miehet,25–54,2045,5453
2023-02-01,miehet,55–64,102,5453
2023-02-01,naiset,15–19,171,5453
2023-02-01,naiset,20–24,299,5453
2023-02-01,naiset,25–54,2298,5453
2023-02-01,naiset,55–64,137,5453
2023-03-01,miehet,15–19,205,5742
2023-03-01,miehet,20–24,212,5742
2023-03-01,miehet,25–54,2132,5742
2023-03-01,miehet,55–64,111,5742
2023-03-01,naiset,15–19,193,5742
2023-03-01,naiset,20–24,308,5742
2023-03-01,naiset,25–54,2441,5742
2023-03-01,naiset,55–64,140,5742
2023-04-01,miehet,15–19,216,6070
2023-04-01,miehet,20–24,216,6070
2023-04-01,miehet,25–54,2283,6070
2023-04-01,miehet,55–64,109,6070
2023-04-01,naiset,15–19,200,6070
2023-04-01,naiset,20–24,314,6070
2023-04-01,naiset,25–54,2573,6070
2023-04-01,naiset,55–64,159,6070
2023-05-01,miehet,15–19,270,6722
2023-05-01,miehet,20–24,241,6722
2023-05-01,miehet,25–54,2542,6722
2023-05-01,miehet,55–64,121,6722
2023-05-01,naiset,15–19,228,6722
2023-05-01,naiset,20–24,335,6722
2023-05-01,naiset,25–54,2798,6722
2023-05-01,naiset,55–64,187,6722
