tilasto_time,sukupuoli,age_group,n,n_total
2022-05-01,miehet,25–54,13,22
2022-06-01,miehet,25–54,16,31
2022-06-01,naiset,25–54,10,31
2022-07-01,miehet,25–54,23,42
2022-07-01,naiset,25–54,11,42
2022-08-01,miehet,25–54,28,51
2022-08-01,naiset,25–54,15,51
2022-09-01,miehet,25–54,30,65
2022-09-01,naiset,25–54,22,65
2022-10-01,miehet,25–54,39,78
2022-10-01,naiset,25–54,25,78
2022-11-01,miehet,25–54,50,103
2022-11-01,naiset,25–54,34,103
2022-12-01,miehet,25–54,59,126
2022-12-01,naiset,25–54,45,126
2023-01-01,miehet,25–54,72,166
2023-01-01,naiset,20–24,10,166
2023-01-01,naiset,25–54,62,166
2023-02-01,miehet,25–54,97,230
2023-02-01,naiset,25–54,96,230
2023-03-01,miehet,15–19,19,705
2023-03-01,miehet,20–24,12,705
2023-03-01,miehet,25–54,190,705
2023-03-01,miehet,55–64,14,705
2023-03-01,naiset,15–19,25,705
2023-03-01,naiset,20–24,42,705
2023-03-01,naiset,25–54,385,705
2023-03-01,naiset,55–64,18,705
2023-04-01,miehet,15–19,31,1134
2023-04-01,miehet,20–24,23,1134
2023-04-01,miehet,25–54,304,1134
2023-04-01,miehet,55–64,12,1134
2023-04-01,naiset,15–19,40,1134
2023-04-01,naiset,20–24,66,1134
2023-04-01,naiset,25–54,626,1134
2023-04-01,naiset,55–64,32,1134
