aika,toimiala_nimi,n,n_total,osuus,sija
2022-03-01,"Maa-, metsä- ja kalatalous",11,25,44,1
2022-04-01,"Maa-, metsä- ja kalatalous",50,149,33.557046979865774,1
2022-04-01,Hallinto- ja tukipalvelutoiminta,31,149,20.80536912751678,2
2022-04-01,Teollisuus,23,149,15.436241610738255,3
2022-04-01,Rakentaminen,14,149,9.395973154362416,4
2022-05-01,Hallinto- ja tukipalvelutoiminta,275,999,27.52752752752753,1
2022-05-01,"Maa-, metsä- ja kalatalous",252,999,25.225225225225223,2
2022-05-01,Teollisuus,123,999,12.312312312312311,3
2022-05-01,Rakentaminen,82,999,8.208208208208207,4
2022-05-01,Majoitus- ja ravitsemistoiminta,61,999,6.106106106106106,5
2022-05-01,Julkinen hallinto,50,999,5.005005005005005,6
2022-05-01,"Ammatillinen, tieteellinen ja tekninen toiminta",46,999,4.604604604604605,7
2022-05-01,Tukku- ja vähittäiskauppa,46,999,4.604604604604605,8
2022-06-01,Hallinto- ja tukipalvelutoiminta,776,2637,29.427379598028065,1
2022-06-01,"Maa-, metsä- ja kalatalous",747,2637,28.327645051194537,2
2022-06-01,Teollisuus,267,2637,10.12514220705347,3
2022-06-01,Rakentaminen,193,2637,7.318923018581722,4
2022-06-01,Majoitus- ja ravitsemistoiminta,164,2637,6.219188471748199,5
2022-06-01,Julkinen hallinto,102,2637,3.8680318543799777,6
2022-06-01,Tukku- ja vähittäiskauppa,85,2637,3.223359878649981,7
2022-06-01,"Ammatillinen, tieteellinen ja tekninen toiminta",82,2637,3.1095942358740993,8
2022-07-01,"Maa-, metsä- ja kalatalous",2026,4903,41.32163981235978,1
2022-07-01,Hallinto- ja tukipalvelutoiminta,1235,4903,25.188660004079132,2
2022-07-01,Teollisuus,350,4903,7.138486640832144,3
2022-07-01,Rakentaminen,335,4903,6.832551499082194,4
2022-07-01,Majoitus- ja ravitsemistoiminta,274,4903,5.588415255965735,5
2022-07-01,Tukku- ja vähittäiskauppa,135,4903,2.753416275749541,6
2022-07-01,Julkinen hallinto,112,4903,2.284315725066286,7
2022-07-01,"Ammatillinen, tieteellinen ja tekninen toiminta",99,4903,2.0191719355496636,8
2022-08-01,"Maa-, metsä- ja kalatalous",3155,6867,45.944371632445026,1
2022-08-01,Hallinto- ja tukipalvelutoiminta,1503,6867,21.887287024901703,2
2022-08-01,Rakentaminen,467,6867,6.800640745594874,3
2022-08-01,Teollisuus,440,6867,6.407455948740353,4
2022-08-01,Majoitus- ja ravitsemistoiminta,353,6867,5.140527158875783,5
2022-08-01,Tukku- ja vähittäiskauppa,230,6867,3.3493519732051844,6
2022-08-01,Julkinen hallinto,159,6867,2.3154215814766275,7
2022-08-01,"Ammatillinen, tieteellinen ja tekninen toiminta",117,6867,1.7038007863695939,8
2022-09-01,Hallinto- ja tukipalvelutoiminta,1849,5867,31.51525481506733,1
2022-09-01,"Maa-, metsä- ja kalatalous",1520,5867,25.907618885290606,2
2022-09-01,Rakentaminen,578,5867,9.85171297085393,3
2022-09-01,Teollisuus,552,5867,9.40855633202659,4
2022-09-01,Majoitus- ja ravitsemistoiminta,319,5867,5.437191068689279,5
2022-09-01,Tukku- ja vähittäiskauppa,223,5867,3.800920402249872,6
2022-09-01,Julkinen hallinto,196,5867,3.340719277313789,7
2022-09-01,"Ammatillinen, tieteellinen ja tekninen toiminta",128,5867,2.181694221919209,8
2022-10-01,Hallinto- ja tukipalvelutoiminta,1957,5792,33.78798342541437,1
2022-10-01,"Maa-, metsä- ja kalatalous",1099,5792,18.974447513812155,2
2022-10-01,Rakentaminen,645,5792,11.136049723756907,3
2022-10-01,Teollisuus,631,5792,10.894337016574585,4
2022-10-01,Majoitus- ja ravitsemistoiminta,294,5792,5.0759668508287294,5
2022-10-01,Tukku- ja vähittäiskauppa,244,5792,4.212707182320442,6
2022-10-01,Julkinen hallinto,213,5792,3.677486187845304,7
2022-10-01,"Ammatillinen, tieteellinen ja tekninen toiminta",125,5792,2.1581491712707184,8
2022-11-01,Hallinto- ja tukipalvelutoiminta,2094,5781,36.22210690192008,1
2022-11-01,"Maa-, metsä- ja kalatalous",758,5781,13.111918353226084,2
2022-11-01,Teollisuus,721,5781,12.471890676353572,3
2022-11-01,Rakentaminen,690,5781,11.93565127140633,4
2022-11-01,Majoitus- ja ravitsemistoiminta,272,5781,4.705068327279018,5
2022-11-01,Tukku- ja vähittäiskauppa,246,5781,4.25531914893617,6
2022-11-01,Julkinen hallinto,240,5781,4.151530877010898,7
2022-11-01,"Ammatillinen, tieteellinen ja tekninen toiminta",129,5781,2.2314478463933574,8
2022-12-01,Hallinto- ja tukipalvelutoiminta,2150,6050,35.53719008264463,1
2022-12-01,"Maa-, metsä- ja kalatalous",767,6050,12.677685950413222,2
2022-12-01,Teollisuus,751,6050,12.413223140495868,3
2022-12-01,Rakentaminen,709,6050,11.71900826446281,4
2022-12-01,Majoitus- ja ravitsemistoiminta,280,6050,4.628099173553719,5
