aika,sukupuoli,n,n_total,osuus
2022-04-01,miehet,16,31,51.61290322580645
2022-04-01,naiset,15,31,48.38709677419355
2022-05-01,miehet,25,42,59.523809523809526
2022-05-01,naiset,17,42,40.476190476190474
2022-07-01,miehet,14,35,40
2022-07-01,naiset,21,35,60
2022-08-01,miehet,12,32,37.5
2022-08-01,naiset,20,32,62.5
2022-09-01,miehet,12,42,28.57142857142857
2022-09-01,naiset,30,42,71.42857142857143
2022-10-01,miehet,26,61,42.62295081967213
2022-10-01,naiset,35,61,57.377049180327866
2022-11-01,miehet,39,90,43.333333333333336
2022-11-01,naiset,51,90,56.666666666666664
2022-12-01,miehet,25,70,35.714285714285715
2022-12-01,naiset,45,70,64.28571428571429
2023-01-01,miehet,49,114,42.98245614035088
2023-01-01,naiset,65,114,57.01754385964912
2023-02-01,miehet,57,130,43.84615384615385
2023-02-01,naiset,73,130,56.15384615384615
2023-03-01,miehet,664,1933,34.35075012933264
2023-03-01,naiset,1269,1933,65.64924987066736
2023-04-01,miehet,593,1640,36.15853658536585
2023-04-01,naiset,1047,1640,63.84146341463415
2023-05-01,miehet,632,1560,40.51282051282051
2023-05-01,naiset,928,1560,59.48717948717949
2023-06-01,miehet,654,1630,40.12269938650307
2023-06-01,naiset,976,1630,59.87730061349693
2023-07-01,miehet,705,1732,40.70438799076213
2023-07-01,naiset,1027,1732,59.29561200923787
2023-08-01,miehet,806,1949,41.35454079014879
2023-08-01,naiset,1143,1949,58.645459209851204
2023-09-01,miehet,984,2161,45.53447478019436
2023-09-01,naiset,1177,2161,54.46552521980564
2023-10-01,miehet,991,2303,43.0308293530178
2023-10-01,naiset,1312,2303,56.96917064698219
2023-11-01,miehet,788,1821,43.272926963207034
2023-11-01,naiset,1033,1821,56.72707303679297
2023-12-01,miehet,409,952,42.962184873949575
2023-12-01,naiset,543,952,57.03781512605042
